MEDIDAS#es,MEDIDAS_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,TERRITORIO#es,TERRITORIO_CODE,SEXO#es,SEXO_CODE,EDAD#es,EDAD_CODE,TASA_TURISTICA_FINALIDAD#es,TASA_TURISTICA_FINALIDAD_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,De 35 a 54 años,Y35T54,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,75263,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 35 a 54 años,Y35T54,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,23.84,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 35 a 54 años,Y35T54,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,38814,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 35 a 54 años,Y35T54,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,26.12,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 35 a 54 años,Y35T54,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,36449,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,De 35 a 54 años,Y35T54,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,5.45,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,De 35 a 54 años,Y35T54,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,16488,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 35 a 54 años,Y35T54,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,5.58,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 35 a 54 años,Y35T54,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,9086,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 35 a 54 años,Y35T54,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,5.31,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 35 a 54 años,Y35T54,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,7402,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,De 35 a 54 años,Y35T54,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,24.81,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,De 35 a 54 años,Y35T54,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,74998,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 35 a 54 años,Y35T54,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,24.53,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 35 a 54 años,Y35T54,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,39938,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 35 a 54 años,Y35T54,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,25.13,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 35 a 54 años,Y35T54,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,35060,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,De 18 a 34 años,Y18T34,Total,_T,100.00,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,De 18 a 34 años,Y18T34,Total,_T,239241,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 18 a 34 años,Y18T34,Total,_T,100.00,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 18 a 34 años,Y18T34,Total,_T,108559,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 18 a 34 años,Y18T34,Total,_T,100.00,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 18 a 34 años,Y18T34,Total,_T,130681,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,De 18 a 34 años,Y18T34,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,23.56,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,De 18 a 34 años,Y18T34,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,56373,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 18 a 34 años,Y18T34,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,19.13,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 18 a 34 años,Y18T34,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,20762,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 18 a 34 años,Y18T34,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,27.25,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 18 a 34 años,Y18T34,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,35611,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,De 18 a 34 años,Y18T34,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,15.26,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,De 18 a 34 años,Y18T34,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,36515,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 18 a 34 años,Y18T34,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,15.82,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 18 a 34 años,Y18T34,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,17179,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 18 a 34 años,Y18T34,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,14.80,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 18 a 34 años,Y18T34,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,19336,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,De 18 a 34 años,Y18T34,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,28.28,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,De 18 a 34 años,Y18T34,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,67646,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 18 a 34 años,Y18T34,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,29.70,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 18 a 34 años,Y18T34,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,32246,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 18 a 34 años,Y18T34,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,27.09,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 18 a 34 años,Y18T34,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,35401,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,De 18 a 34 años,Y18T34,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,5.26,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,De 18 a 34 años,Y18T34,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,12585,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 18 a 34 años,Y18T34,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,10.34,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 18 a 34 años,Y18T34,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,11230,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 18 a 34 años,Y18T34,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,1.04,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 18 a 34 años,Y18T34,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,1354,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,De 18 a 34 años,Y18T34,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,27.64,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,De 18 a 34 años,Y18T34,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,66122,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 18 a 34 años,Y18T34,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,25.00,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 18 a 34 años,Y18T34,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,27142,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 18 a 34 años,Y18T34,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,29.83,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 18 a 34 años,Y18T34,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,38980,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,Total,_T,Total,_T,100.00,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,Total,_T,Total,_T,827751,,,
